标准分类,标准命名,算子分级,Package,PyTorch link
Linalg,cartesian_prod,P2,torch,<https://pytorch.org/docs/stable/generated/torch.cartesian_prod.html?highlight=cartesian_prod>
Linalg,diag_embed,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.diag_embed.html?highlight=diag_embed#torch.diag_embed>
Linalg,trace,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.trace.html?highlight=trace#torch.trace>
Linalg,det,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.linalg.det.html#torch.linalg.det>
Linalg,logdet,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.logdet.html?highlight=logdet#torch.logdet>
Linalg,tril_indices,P2,torch,<https://pytorch.org/docs/stable/generated/torch.tril_indices.html?highlight=tril_indices#torch.tril_indices>
Linalg,triu_indices,P2,torch,<https://pytorch.org/docs/stable/generated/torch.triu_indices.html?highlight=triu_indices#torch.triu_indices>
Linalg,eig,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.eig.html?highlight=eig#torch.eig>
Linalg,svd,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.svd.html?highlight=svd#torch.svd>
Linalg,symeig,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.symeig.html?highlight=symeig#torch.symeig>
Linalg,orgqr,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.orgqr.html?highlight=orgqr#torch.orgqr>
Linalg,ormqr,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.ormqr.html?highlight=ormqr#torch.ormqr>
Linalg,geqrf,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.geqrf.html?highlight=geqrf#torch.geqrf>
Linalg,slogdet,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.linalg.slogdet.html#torch.linalg.slogdet>
Linalg,cholesky_inverse,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.cholesky_inverse.html?highlight=cholesky_inverse#torch.cholesky_inverse>
Linalg,cholesky_solve,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.cholesky_solve.html?highlight=cholesky_solve#torch.cholesky_solve>
Linalg,lu,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.lu.html#torch.lu>
Linalg,lu_solve,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.lu_solve.html?highlight=lu_solve#torch.lu_solve>
Linalg,solve,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.solve.html?highlight=solve#torch.solve>
Linalg,matrix_rank,P2,torch,<https://pytorch.org/docs/stable/generated/torch.matrix_rank.html?highlight=matrix_rank#torch.matrix_rank>
Linalg,inverse,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.inverse.html#torch.inverse>
Linalg,pinverse,P2,"torch, torch.Tensor",<https://pytorch.org/docs/1.11/generated/torch.pinverse.html?highlight=pinvers#torch.pinverse>
Linalg,pdist,P2,"torch, torch.nn.functional",<https://pytorch.org/docs/1.11/generated/torch.nn.functional.pdist.html?highlight=pdist#torch.nn.functional.pdist>
Permute,transpose,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.transpose.html#torch.transpose>
Permute,stack,P0,torch,<https://pytorch.org/docs/stable/generated/torch.stack.html?highlight=stack#torch.stack>
Permute,cat,P0,torch,<https://pytorch.org/docs/stable/generated/torch.cat.html?highlight=cat>
Permute,roll,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.roll.html#torch.roll>
Permute,pixel_shuffle,P1,torch.nn.functional,<https://pytorch.org/docs/stable/generated/torch.nn.functional.pixel_shuffle.html?highlight=pixel_shuffle#torch.nn.functional.pixel_shuffle>
Permute,flip,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.flip.html?highlight=flip#torch.flip>
Permute,rot90,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.rot90.html#torch.rot90>
View,view,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.view.html?highlight=view#torch.Tensor.view>
View,resize,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.resize_.html?highlight=resize>
View,narrow,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.narrow.html?highlight=narrow#torch.narrow>
View,reshape,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.reshape.html#torch.reshape>
View,flatten,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.flatten.html?highlight=flatten#torch.flatten>
View,squeeze,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.squeeze.html?highlight=squeeze#torch.squeeze>
View,unsqueeze,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.unsqueeze.html#torch.unsqueeze>
View,chunk,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.chunk.html?highlight=chunk#torch.chunk>
View,split,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.split.html?highlight=split#torch.split>
View,unbind,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.unbind.html?highlight=bind#torch.unbind>
View,expand,P0,torch.Tensor,<https://pytorch.org/docs/stable/generated/torch.Tensor.expand.html?highlight=expand#torch.Tensor.expand>
View,select,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.select.html#torch.select>
View,take,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.take.html?highlight=take#torch.take>
View,tensor_split,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.tensor_split.html#torch.tensor_split>
Advanced Indexing,gather,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.gather.html?highlight=gather#torch.gather>
Advanced Indexing,scatter,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.scatter_.html#torch.Tensor.scatter_>
Advanced Indexing,index_put,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_put.html?highlight=index_put>
Advanced Indexing,index_select,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.index_select.html?highlight=index_select>
Advanced Indexing,masked_fill,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.masked_fill.html?highlight=masked_fill#torch.Tensor.masked_fill>
Advanced Indexing,masked_select,P0,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.masked_select.html?highlight=masked_select#torch.masked_select>
Advanced Indexing,index_add ,P1,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_add.html?highlight=index_add#torch.Tensor.index_add>
Advanced Indexing,scatter_add,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.scatter_add_.html#torch.Tensor.scatter_add_>
Advanced Indexing,slice_scatter,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.slice_scatter.html?highlight=slice_scatter#torch.slice_scatter>
Advanced Indexing,index_copy,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_copy.html?highlight=index_copy#torch.Tensor.index_copy>
Advanced Indexing,index_fill,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.index_fill.html?highlight=index_fill>
Advanced Indexing,masked_scatter,P2,"torch, torch.Tensor",<https://pytorch.org/docs/stable/generated/torch.Tensor.masked_scatter.html?highlight=masked_scatter#torch.Tensor.masked_scatter>
Distribution,randperm,P0,torch,<https://pytorch.org/docs/stable/generated/torch.randperm.html#torch.randperm>
